Date,Value,Anomaly
195302,38.4,5.5
195303,43.3,2.1
195304,52.3,0.8
195305,63.4,1.2
195306,73.4,2.4
195307,77.8,1.4
195308,75.8,1.1
195309,70.4,2.3
195310,60.7,3.1
195311,49.7,3.0
195312,41.3,5.3
195401,30.8,-1.5
195402,40.1,7.2
195403,41.5,0.3
195404,53.7,2.2
195405,59.8,-2.4
195406,71.6,0.6
195407,76.7,0.3
195408,72.7,-2.0
195409,67.4,-0.7
195410,61.7,4.1
195411,46.4,-0.3
195412,35.9,-0.1
195501,30.9,-1.4
195502,35.0,2.1
195503,41.7,0.5
195504,53.5,2.0
195505,65.4,3.2
195506,68.9,-2.1
195507,80.9,4.5
195508,78.1,3.4
195509,67.8,-0.3
195510,59.8,2.2
195511,44.2,-2.5
195512,29.7,-6.3
195601,32.0,-0.3
195602,36.6,3.7
195603,37.4,-3.8
195604,48.2,-3.3
195605,58.6,-3.6
195606,71.4,0.4
195607,72.9,-3.5
195608,74.2,-0.5
195609,64.8,-3.3
195610,58.1,0.5
195611,46.7,0.0
195612,40.9,4.9
195701,28.5,-3.8
195702,37.2,4.3
195703,41.9,0.7
195704,53.2,1.7
195705,63.1,0.9
195706,74.3,3.3
195707,77.7,1.3
195708,73.6,-1.1
195709,69.7,1.6
195710,56.2,-1.4
195711,49.4,2.7
195712,40.2,4.2
195801,31.9,-0.4
195802,27.4,-5.5
195803,40.2,-1.0
195804,52.9,1.4
195805,59.1,-3.1
195806,67.2,-3.8
195807,76.1,-0.3
195808,75.1,0.4
195809,67.6,-0.5
195810,55.5,-2.1
195811,47.9,1.2
195812,29.3,-6.7
195901,31.2,-1.1
195902,32.1,-0.8
195903,40.1,-1.1
195904,53.7,2.2
195905,66.3,4.1
195906,71.2,0.2
195907,76.3,-0.1
195908,77.5,2.8
195909,72.3,4.2
195910,59.8,2.2
195911,45.8,-0.9
195912,38.4,2.4
196001,33.9,1.6
196002,36.2,3.3
196003,33.4,-7.8
196004,54.0,2.5
196005,62.6,0.4
196006,71.8,0.8
196007,74.5,-1.9
196008,74.9,0.2
196009,68.0,-0.1
196010,58.0,0.4
196011,49.7,3.0
196012,30.9,-5.1
196101,27.7,-4.6
196102,36.6,3.7
196103,41.5,0.3
196104,49.0,-2.5
196105,59.8,-2.4
196106,72.4,1.4
196107,78.1,1.7
196108,76.4,1.7
196109,73.5,5.4
196110,61.1,3.5
196111,48.7,2.0
196112,35.5,-0.5
196201,32.6,0.3
196202,31.8,-1.1
196203,43.1,1.9
196204,53.3,1.8
196205,64.4,2.2
196206,72.5,1.5
196207,74.0,-2.4
196208,72.4,-2.3
196209,64.9,-3.2
196210,57.4,-0.2
196211,43.2,-3.5
196212,31.5,-4.5
196301,30.1,-2.2
196302,28.2,-4.7
196303,43.6,2.4
196304,53.7,2.2
196305,61.1,-1.1
196306,70.9,-0.1
196307,76.4,0.0
196308,72.0,-2.7
196309,63.0,-5.1
196310,61.8,4.2
196311,50.3,3.6
196312,31.2,-4.8
196401,35.6,3.3
196402,32.8,-0.1
196403,43.1,1.9
196404,49.7,-1.8
196405,65.4,3.2
196406,71.6,0.6
196407,75.4,-1.0
196408,72.9,-1.8
196409,67.1,-1.0
196410,55.0,-2.6
196411,49.4,2.7
196412,36.4,0.4
196501,29.6,-2.7
196502,33.9,1.0
196503,40.0,-1.2
196504,50.6,-0.9
196505,66.4,4.2
196506,70.1,-0.9
196507,74.3,-2.1
196508,73.1,-1.6
196509,67.5,-0.6
196510,57.3,-0.3
196511,46.7,0.0
196512,40.5,4.5
196601,32.2,-0.1
196602,35.0,2.1
196603,42.6,1.4
196604,49.7,-1.8
196605,61.5,-0.7
196606,75.4,4.4
196607,79.6,3.2
196608,76.9,2.2
196609,66.5,-1.6
196610,56.1,-1.5
196611,48.9,2.2
196612,35.7,-0.3
196701,37.3,5.0
196702,29.2,-3.7
196703,37.5,-3.7
196704,49.6,-1.9
196705,55.2,-7.0
196706,72.8,1.8
196707,75.3,-1.1
196708,73.8,-0.9
196709,66.7,-1.4
196710,57.2,-0.4
196711,42.4,-4.3
